PID_de_identity,group,LearningProfileDay1,LearningProfileDay2,LearningProfileDay3,LearningProfileDay4,LearningProfileDay5,LearningRate,AccGainTrain,AccGainUntrain,AccTrainPre,AccTrainPost,AccUntrainPre,AccUntrainPost,RTGainTrain,RTGainUntrain,RTTrainPre,RTUntrainPre,RTTrainPost,RTUntrainPost,StrategyTrainPre,StrategyTrainPost,StrategyUntrainPre,StrategyUntrainPost
13,1,11.81313674,7.157802768,5.4195,5.32040809,4.939625247,-1.558441767,0.272727273,0.041666667,0.785714286,1,0.857142857,0.892857143,-0.46061602,-0.40552624,11388.78571,12215.84615,6142.928571,7262,2,2,2,2
14,1,19.47247619,13.464,12.54791682,7.555242188,5.55268875,-3.374833269,0.232142857,0.575,0.666666667,0.821428571,0.476190476,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1,5.48239125,4.692190476,3.75947619,3.506380952,3.366,-0.541859202,-0.037037037,0.086956522,0.964285714,0.928571429,0.821428571,0.892857143,-0.372305192,-0.24449807,6586.230769,7135.857143,4134.142857,5391.153846,1,1,1,1
16,2,10.69884667,8.995388889,9.252342857,7.709074286,10.22420576,-0.223559641,0.315789474,-0.263157895,0.678571429,0.892857143,0.678571429,0.5,-0.172266424,0.072959276,8729.583333,8320.166667,7225.769231,8927.2,1,1,2,2
17,1,16.4316768,11.70829333,20.91105882,14.90071488,7.940473333,-1.378998539,0.1,-0.090909091,0.714285714,0.785714286,0.785714286,0.714285714,-0.199178488,-0.403543529,7219.818182,12787,5781.785714,7626.888889,2,2,2,2
18,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.111111111,-0.111111111,0.964285714,0.857142857,0.964285714,0.857142857,-0.577895789,-0.227390839,5716.428571,4068.357143,2412.928571,3143.25,2,1,2,2
19,2,7.029261905,7.661009862,6.266619048,5.750595238,6.158453649,-0.365203114,0.08,-0.285714286,0.892857143,0.964285714,1,0.714285714,-0.501415642,-0.104562341,7442.357143,6550.642857,3710.642857,5865.692308,2,2,2,2
20,1,5.164039448,3.202214286,3.159619048,2.652930966,2.135453896,-0.660645442,0.037037037,0.038461538,0.964285714,1,0.928571429,0.964285714,-0.450803059,0.097357415,4193.785714,3808.5,2303.214286,4179.285714,2,2,2,2
21,2,16.501905,7.719390582,9.163291667,7.942188366,6.80587963,-1.916925296,1.30E-16,-0.086956522,0.857142857,0.857142857,0.821428571,0.75,-0.437055054,-0.036192822,10815.92308,10167.23077,6088.769231,9799.25,2,2,2,2
22,2,5.75047619,5.130666667,4.7419575,3.411619274,3.07111875,-0.707776227,0.12,-0.038461538,0.892857143,1,0.928571429,0.892857143,-0.529200788,-0.359951,4640.285714,6650.923077,2184.642857,4256.916667,1,1,1,1
23,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.043478261,-0.086956522,0.821428571,0.785714286,0.821428571,0.75,-0.239324933,0.310160428,7032.923077,7616,5349.769231,9978.181818,2,1,2,1
24,2,2.636830458,2.33441047,2.034404762,1.962142857,2.042642857,-0.156064281,0.038461538,0,0.928571429,0.964285714,0.964285714,0.964285714,-0.415165971,-0.228034229,2273.416667,2370.571429,1329.571429,1830,1,1,2,2
25,1,17.531745,8.921625344,7.940689815,7.026962963,5.545491124,-2.586717013,0.058823529,-0.142857143,0.607142857,0.642857143,0.75,0.642857143,-0.476182199,-0.276137461,9109.083333,9223.090909,4771.5,6676.25,2,2,2,2
26,2,5.27268,4.051288519,4.307311124,3.909098156,4.16700375,-0.235354286,0.083333333,-0.166666667,0.857142857,0.928571429,0.857142857,0.714285714,-0.21395676,0.052708869,2538.846154,2933.384615,1995.642857,3088,2,2,2,2
